Volt,Frequency,S21,S31
6,764.36,-0.776,-19.144
6,769.63,-0.808,-18.844
6,774.9,-0.852,-18.464
6,780.18,-0.880,-18.132
6,785.45,-0.932,-17.912
6,790.72,-0.976,-17.716
6,796,-0.996,-17.444
6,801.27,-0.988,-17.256
6,806.54,-1.032,-17.068
6,811.81,-1.040,-16.908
6,817.09,-1.032,-16.776
6,822.36,-1.032,-16.648
6,827.63,-1.020,-16.496
6,832.9,-0.972,-16.300
6,838.18,-0.956,-16.088
6,843.45,-0.908,-15.944
6,848.72,-0.820,-15.724
6,854,-0.828,-15.552
6,859.27,-0.800,-15.516
6,864.54,-0.732,-15.272
6,869.81,-0.724,-15.172
6,875.09,-0.720,-15.044
6,880.36,-0.656,-14.908
6,885.63,-0.648,-14.860
6,890.9,-0.648,-14.692
6,896.18,-0.708,-14.696
6,901.45,-0.752,-14.572
6,906.72,-0.768,-14.492
6,912,-0.768,-14.380
6,917.27,-0.772,-14.252
6,922.54,-0.816,-14.220
6,927.81,-0.804,-14.116
6,933.09,-0.824,-14.008
6,938.36,-0.780,-13.924
6,943.63,-0.804,-13.900
6,948.9,-0.824,-13.884
6,954.18,-0.848,-13.764
6,959.45,-0.920,-13.720
6,964.72,-0.936,-13.604
6,970,-0.936,-13.472
6,975.27,-1.016,-13.468
6,980.54,-1.020,-13.420
6,985.81,-1.068,-13.492
6,991.09,-1.068,-13.652
6,996.36,-1.132,-13.832
7,500.72,-0.772,-32.064
7,506,-0.784,-31.144
7,511.27,-0.796,-30.288
7,516.54,-0.872,-29.288
7,521.81,-0.884,-27.972
7,527.09,-0.928,-27.128
7,532.36,-0.992,-26.124
7,537.63,-1.004,-25.308
7,542.9,-1.064,-24.632
7,548.18,-1.108,-24.296
7,553.45,-1.088,-23.692
7,558.72,-1.148,-23.232
7,564,-1.120,-22.592
7,569.27,-1.116,-22.328
7,574.54,-1.092,-21.984
7,579.81,-1.084,-21.448
7,585.09,-1.024,-21.100
7,590.36,-0.956,-20.580
7,595.63,-0.948,-20.316
7,600.9,-0.880,-20.088
7,606.18,-0.816,-19.800
7,611.45,-0.784,-19.512
7,616.72,-0.740,-19.288
7,0.622,-0.724,-19.076
7,627.27,-0.708,-18.968
7,632.54,-0.692,-18.788
7,637.81,-0.708,-18.584
7,643.09,-0.720,-18.416
7,648.36,-0.720,-18.204
7,653.63,-0.756,-18.012
7,658.9,-0.780,-17.800
7,664.18,-0.792,-17.536
7,669.45,-0.804,-17.336
7,674.72,-0.844,-17.156
7,680,-0.844,-16.816
7,685.27,-0.872,-16.644
7,690.54,-0.916,-16.452
7,695.81,-0.964,-16.260
7,701.09,-1.028,-16.228
7,706.36,-1.044,-16.364
7,711.63,-1.064,-16.900
7,716.9,-1.048,-17.716
7,722.18,-1.032,-18.644
7,727.45,-0.992,-19.596
7,732.72,-0.996,-20.508
7,738,-0.964,-21.036
7,743.27,-0.900,-21.508
7,748.54,-0.896,-21.780
7,753.81,-0.884,-21.572
7,759.09,-0.892,-21.248
7,764.36,-0.896,-20.872
7,769.63,-0.904,-20.620
7,774.9,-0.976,-20.088
7,780.18,-0.988,-19.724
7,785.45,-1.032,-19.460
7,790.72,-1.052,-19.192
7,796,-1.092,-19
7,801.27,-1.080,-18.716
7,806.54,-1.104,-18.528
7,811.81,-1.108,-18.384
7,817.09,-1.120,-18.124
7,822.36,-1.104,-17.944
7,827.63,-1.088,-17.852
7,832.9,-1.040,-17.648
7,838.18,-1.040,-17.496
7,843.45,-0.992,-17.176
7,848.72,-0.900,-17.088
7,854,-0.896,-16.984
7,859.27,-0.892,-16.860
7,864.54,-0.812,-16.612
7,869.81,-0.816,-16.520
7,875.09,-0.812,-16.288
7,880.36,-0.760,-16.208
7,885.63,-0.752,-16.100
7,890.9,-0.752,-16.020
7,896.18,-0.820,-15.968
7,901.45,-0.868,-15.876
7,906.72,-0.868,-15.708
7,912,-0.876,-15.644
7,917.27,-0.868,-15.496
7,922.54,-0.924,-15.448
7,927.81,-0.908,-15.328
7,933.09,-0.936,-15.268
7,938.36,-0.896,-15.128
7,943.63,-0.904,-15.092
7,948.9,-0.920,-15.028
7,954.18,-0.928,-14.976
7,959.45,-0.988,-14.844
7,964.72,-1.008,-14.816
7,970,-1.012,-14.696
7,975.27,-1.076,-14.644
7,980.54,-1.080,-14.584
7,985.81,-1.120,-14.584
7,991.09,-1.112,-14.748
7,996.36,-1.180,-15
8,500.72,-0.756,-34.552
8,506,-0.768,-34.080
8,511.27,-0.812,-33.156
8,516.54,-0.872,-31.412
8,521.81,-0.868,-30.236
8,527.09,-0.912,-28.552
8,532.36,-0.972,-27.752
8,537.63,-1.004,-26.596
8,542.9,-1.048,-25.884
8,548.18,-1.076,-25.228
8,553.45,-1.072,-24.612
8,558.72,-1.112,-24.096
8,564,-1.104,-23.756
8,569.27,-1.100,-23.480
8,574.54,-1.076,-23.048
8,579.81,-1.048,-22.488
8,585.09,-0.992,-22.068
8,590.36,-0.924,-21.592
8,595.63,-0.900,-21.280
8,600.9,-0.848,-20.940
8,606.18,-0.784,-20.576
8,611.45,-0.784,-20.332
8,616.72,-0.724,-20.184
8,0.622,-0.696,-19.904
8,627.27,-0.692,-19.816
8,632.54,-0.676,-19.620
8,637.81,-0.692,-19.324
8,643.09,-0.708,-19.228
8,648.36,-0.720,-19.044
8,653.63,-0.740,-18.844
8,658.9,-0.780,-18.748
8,664.18,-0.776,-18.444
8,669.45,-0.788,-18.192
8,674.72,-0.844,-17.936
8,680,-0.844,-17.708
8,685.27,-0.888,-17.532
8,690.54,-0.916,-17.224
8,695.81,-0.964,-17.016
8,701.09,-1.044,-16.888
8,706.36,-1.044,-16.916
8,711.63,-1.036,-17.340
8,716.9,-1.020,-18.084
8,722.18,-1.016,-19.128
8,727.45,-0.968,-20.072
8,732.72,-0.952,-20.928
8,738,-0.928,-22.060
8,743.27,-0.856,-22.940
8,748.54,-0.868,-23.380
8,753.81,-0.860,-23.420
8,759.09,-0.872,-23.016
8,764.36,-0.860,-22.600
8,769.63,-0.868,-22.012
8,774.9,-0.928,-21.568
8,780.18,-0.912,-21.064
8,785.45,-0.964,-20.732
8,790.72,-1,-20.312
8,796,-1.032,-20.112
8,801.27,-1.020,-19.852
8,806.54,-1.052,-19.572
8,811.81,-1.056,-19.344
8,817.09,-1.064,-19.232
8,822.36,-1.040,-18.900
8,827.63,-1.032,-18.788
8,832.9,-0.996,-18.640
8,838.18,-0.996,-18.496
8,843.45,-0.948,-18.272
8,848.72,-0.824,-17.996
8,854,-0.844,-17.860
8,859.27,-0.836,-17.744
8,864.54,-0.768,-17.596
8,869.81,-0.784,-17.408
8,875.09,-0.780,-17.328
8,880.36,-0.716,-17.148
8,885.63,-0.720,-17.052
8,890.9,-0.740,-17.012
8,896.18,-0.800,-16.868
8,901.45,-0.836,-16.808
8,906.72,-0.848,-16.684
8,912,-0.864,-16.608
8,917.27,-0.856,-16.484
8,922.54,-0.916,-16.392
8,927.81,-0.888,-16.244
8,933.09,-0.916,-16.208
8,938.36,-0.856,-16.072
8,943.63,-0.868,-16.016
8,948.9,-0.892,-15.912
8,954.18,-0.880,-15.824
8,959.45,-0.948,-15.764
8,964.72,-0.952,-15.592
8,970,-0.980,-15.432
8,975.27,-1.048,-15.356
8,980.54,-1.052,-15.372
8,985.81,-1.092,-15.420
8,991.09,-1.092,-15.496
8,996.36,-1.116,-15.832
9,500.72,-0.728,-36.896
9,506,-0.736,-37.188
9,511.27,-0.764,-35.796
9,516.54,-0.824,-33.908
9,521.81,-0.836,-31.884
9,527.09,-0.864,-30.344
9,532.36,-0.924,-28.976
9,537.63,-0.952,-27.736
9,542.9,-0.996,-26.788
9,548.18,-1.044,-26.264
9,553.45,-1.040,-25.464
9,558.72,-1.064,-25.016
